,VIOLATION_TEXT,Unnamed: 14
382,Section 17.08.030 - Use not permitted: The operation of a commercial business and /or the storage of commercial equipment at this location are prohibited by applicable land use standards.,
383,"Section 17.16.030 ((B) 4) - Consignment Sale (Residential Parcel): A consignment sale shall be prohibited, or any other offer for sale in connection with which any owner or occupant of real property undertakes to sell personal property, as an agent for another.",
384,Section 17.12.040 - The maximum fence height measured from finish grade level on the side of the wall or fence exceeds the height allowed.,
385,Section 17.12.040 (E) 26(b) - Screening Walls or Fences (Front Setback) Greatest vertical exposure shall be six feet in height within the remainder of the required front setback.,
386,"Section 17.12.040 (E) 26(a) - Screening Walls or Fences (Off Right-of-way): Greatest vertical exposure for open fences, such as chain link or those of a similar nature are permitted to be six feet in height.",
387,Section 17.12.040 (E) 26(a) - Screening Walls or Fences (Off Right-of-way): Greatest vertical exposure (privacy or opaque type fences) shall be two and one half feet in height within ten feet of a street right-of-way.,
388,Section 17.12.040 (E) 26(c) - Screening Walls or Fences (Side and Rear Setback) Greatest vertical exposure shall be eight feet in height within the required side or rear setback or within any platted common open space.,
389,"Section 17.16.250 (B) - Garage Sale: Within any calendar year, a maximum of two garages sale events shall occur per residence.",
390,"Section 17.16.250 (C) - Home Occupation (Conditions): A home occupation shall be considered an accessory use to a residence [permitted under certain conditions, one or more conditions not met]",
391,Section 17.16.250  (C) - Home Occupation (Permit): A home occupation shall be considered an accessory use to a residence [requires a permit with conditions].,
392,Section 17.28.100 (A) - Lighting (Emission): All site lighting shall be shielded so that substantially all directly emitted light falls within the property line.,
393,Section 17.28.100 (A) - Lighting (Max Level): No illumination in excess of one-half foot candle shall be permitted across the boundary of any adjacent residential property or public street.,
394,"Ordinance BL2006-1283 - Mobile Vendor: The peddling, vending, selling, display, or offer for sale of goods, wares or merchandise at a temporary location and/or on a temporary or occassional basis [is prohibited].",
395,Section 17.28.090 (C) - Noise Levels: Sound level of continuous and intermittent noise exceeds maximum sound levels across lot lines or district boundaries.,
396,"Section 16.24.030 & 17.04.060 - Overcrowding: No more than ""three"" unrelated persons may live together in a dwelling unit.",
397,Section 17.04.060 (2) - Family: No more than eight unrelated adults (mentally or physically handicapped) plus up to two care givers as per Tennessee Code Annotated 13-24-102 may reside in a dwelling unit.,
398,Section 17.04.060.  Too many persons living together as a single family in a dwelling unit having common housekeeping facilities.,
399,,
400,"Section 17.20.070 (G) - Paving: Permanent parking areas containing five or more spaces shall be surfaced with asphalt or concrete, or other hard-surfaced dustless materials, and shall be constructed to provide adequate drainage. ",
401,,
402,Section 17.40.520 - Zoning Permit Required: An application for a zoning permit must be filed with the zoning administrator prior to any person commencing any construction or alteration of a structure or initiating a change in the use of the property.,
403,Section 17.40.520 - An application for a zoning permit must be filed with the zoning administrator prior to any person or entity commencing any construction or alteration of a structure or initiating a change in the use of the property.,
404,Section 17.16.030 (A) - Consignment Sale: Accessory use of residential property (consignment sale) not allowed because  minimum lot size requirement not met (3 acres) and or  only two events are allowed per calendar year.,
405,"Section 17.16.030 (C) - Security Residence: Residence fails to meet the requirements for a security residence because  occupancy requirement not met,  residence not above or in the same building as business or  residence is being rented.",
406,Section 17.32.050 (M) - Prohibited Signs (Blank): Blank on-premises temporary signs [are prohibited].,
407,Section 17.32.050 (S) - Portable Signs: Portable signs as defined by this title [are prohibited].,
408,"Section 17.32.040 (M) – Temporary Signs and Displays: Temporary merchandise displays and signs behind storefront windows which are not affixed permanently to the glass, nor intended for permanent display, and non-illuminated, provided that such temporary signs do not cover more than twenty-five percent of the total surface area of the storefront window.",
409,Section 17.40-510 (D) - Abandoned Signs - [Signs identified by] the zoning administrator as abandoned. The sign must be removed from the premises.,
410,"Section 17.40.510 (C) - Dilapidated Signs - All signs regulated by this title, together with their supports, braces, guys and anchors shall be maintained in good repair. ",
411,,
412,Section 17.32.040 (G) - Hand Carried Signs: Signs carried by a person when the person does receive financial compensation [is prohibited].,
413,"Section 17.32.050 (E) - Prohibited Signs: Signs placed upon bus benches, bus shelters, or waste receptacles [are prohibited].",
414,Section 17.32.050 (F) - Prohibited Signs: Signs erected on public property (such as private utility poles) located on public property [are prohibited].,
415,Section 17.32.020 (B) (3) - Maintenance: All signs shall be maintained in good surface and structural condition and in compliance with all building and electrical codes.,
416,Section 17.32.020 (B) (2) - Permanency Required: All signs shall be constructed of permanent materials and shall be permanently affixed to the ground or building.,
417,"Section 17.32.050 (G) (3) - Prohibited Signs: Sign display areas with varying light illumination and/or intensity, blinking, bursting, dissolving, distorting, fading, flashing, oscillating, rotating, scrolling, sequencing, shimmering, sparkling, streaming, traveling, tracing, twinkling, simulated movement, or convey the illusion of movement.",
418,"Section 17.40.510 - Sign permit required: Signs constructed, erected or altered without a permit shall be illegal.",
419,"Section 17.40.520 – Illegal Signs – Permit Required: Signs constructed, erected, or altered without a permit as required by Article XI of the Zoning Code or by the provisions of prior regulations shall be illegal.",
420,"Section 6.04.010 - Prohibited on posts and poles. It is unlawful for any person to affix in any manner any sign, placard, poster, card, banner or other indicia of the interests of any person, group or organization on any post or pole, including, but not limited to, light and telephone poles, on any street, sidewalk, thoroughfare or public right-of-way within the jurisdiction of the metropolitan government. ",
421,,
422,"Section 17.32.050 - Prohibited Signs: It is unlawful to erect, cause to be erected, maintain or cause to be maintained, any sign not expressly authorized by, or exempted from, this title.",
423,Section 17.32.050 - Prohibited location:  Signs located on public property or on private property (such as private utility poles) located on public property.,
424,"Section 17.32.060 -  On-premises temporary signs may be a ground sign or building sign and may not be operated by electrical, electronic or mechanical parts.",
425,"Section 17.32.050(G) (1) - Prohibited Signs: Signs with any copy, graphics, or digital displays that change messages by electronic or mechanical means, where the copy, graphics, or digital display does not remain fixed, static, motionless, and non-flashing for a period of eight seconds with all copy changes occurring instantaneously without any special effects.",
426,"Section 17.40.510 (B) (1) - Illegal Signs - Signs constructed, erected or altered without a permit as required by this article or by the provisions of prior regulations shall be illegal.",
427,"Section 17.32.050 (Q) - Prohibited Signs: Signs attached to, suspended from or painted on any motor vehicle, trailer or other equipment in: (2) Nonresidential districts. [Vehicles] regularly parked on the premises shall be confined to the portion of the property behind the front line of the building (when not being loaded).",
428,"Section 17.32.050 (O) - Prohibited Signs: Signs, commonly referred to as wind signs, consisting of one or more flags which are not otherwise exempted, pennants, ribbons, spinners, streamers or captive balloons which are less than ten feet in their greatest diameter, or other objects or material fastened in such a manner as to move upon being subjected to pressure by wind.",
429,Section 17.32.040 - Window signs/displays:  Temporary signs or displays located on or behind storefront windows shall not cover more than 25% of the total surface area of the storefront window.,
430,Section 17.08.030 – Use Not Permitted: The use of the property is not in compliance with the applicable provisions of the Metro Zoning Ordinance.  -,
431,"Section 17.40.580 - Following issuance of a zoning permit, no structure or zone lot shall be used or occupied until the zoning administrator has certified in a final inspection that the property is in full compliance with all applicable provisions of this zoning code. The certified of compliance shall be posted within the building in a manner viewable by the public. Issuance of a certificate of compliance shall not be construed as waiving any provision of this zoning code. (Ordinance 96-555  10.12(G), 1997).",
432,Section 17.24.080. Failure of maintenance of required landscape materials. Replace any dead or missing plant material as shown on the approved landscape plan. All trees planted to meet this requirement must be at least 6 feet tall and 2 inches caliper at planting. Any staking that has been left on trees needs to be removed. It is IMPERATIVE that you call for an inspection when the violation has been corrected.,
433,,
434,Section 17.40.470.  Failure to obtain a tree removal permit.,
435,Section 17.24. Failure to comply with approved landscape site plan.,
436,Section 17.24.090.  Failure to adhere to tree protection zone requirements.,
437,"Section 2.104.050 If the Urban Forester is informed of a private tree that falls within the definition of a hazard tree,",
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,-Replace substandard wiring (drop-cords).,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,MCL Chapter 8.04.180 – Removal of Excrement.  A dog owner shall clean up and remove any excrement left by his or her dog(s) on any public property or private property not owned or lawfully possessed by the dog owner.,
482,"MCL Chapter 10.20.150 - Hazardous, pathogenic and radioactive waste.  All pathological waste from physician's clinics, dental clinics, blood banks and medical or microbiological laboratories shall be separate from normal waste, placed in durable disposable bags that can be tied and sealed when full. The bags shall be stored in metal containers with tight-fitting lids.",
483,MCL Chapter 10.20.160 – Container Requirements.  Lids or covers must be provided for all such containers and they shall be kept tightly closed at all times other than where garbage is being deposited therein or removed therefrom.,
484,"MCL Chapter 10.20.320 – Illegal Dumping.  It is unlawful for any person to dispose of or cause to be disposed any garbage, rubbish or other waste material upon any property other than a garbage disposal facility or sanitary landfill so designated by the metropolitan government.  It is unlawful for any person to dispose of or cause to be disposed any garbage, rubbish or other waste material in any private receptacle other than the person's own private receptacle or unless authorized to do so by the owner of the private receptacle.",
485,"MCL Chapter 10.24.070 - Litter on private property--Responsibilities of owners.  The owner or person in control of any private property shall at all times maintain the premises free of litter. Provided, however, that this section shall not prohibit the storage of litter in authorized private receptacles for collection.",
486,MCL Chapter 10.24.140 - Litter on vacant lots.  No person shall throw or deposit litter on any open or vacant private property within the area of metropolitan government whether owned by such person or not.,
487,"MCL Chapter 10.24.150 - Litter from vehicles--Liability of drivers.  No person, while a driver or passenger in a vehicle, shall throw or deposit litter upon any street or other public place within the area of metropolitan government, or upon private property. The driver of a vehicle from which litter is thrown shall be deemed prima facie liable for any litter thrown from the vehicle.",
488,MCL Chapter 10.26.010 – Every premise including vacant lots shall be kept free of excessive vegetation.,
489,MCL Chapter 10.32.120 - All garbage and trash shall be stored in covered garbage containers that have been approved by Metropolitan Public Works Department and shall have tight fitting lids.,
490,MCL Chapter 10.32.130 – Permitting garbage and trash to accumulate creating food and harborage for rats.  To clean premises of all garbage and trash.,
491,"MCL Chapter 10.32.140 - Permitting lumber, junk, barrels, boxes, bricks or other similar materials to accumulate on any premises, vacant lots or alley, creating a possible rat harborage.  To clean premises of all lumber, junk, trash, barrels, bricks or other similar materials.",
492,"MCL Chapter 10.32.160 – The chief medical director may order the person in ownership or control of any property or facility storing tires where stagnant water may collect to eliminate the collection of water in the tires and employ other adequate measures to prevent the breeding or harborage of insects, rodents and other pests.",
493,"MCL Chapter 10.36.020 a -  Every dwelling and every part of premises shall be kept clean and free from any accumulation of dirt, filth, rubbish, garbage or similar matter.",
494,,
495,,
496,,
497,,
498,,
499,,
500,,
501,,
502,,
503,,
504,,
505,,
506,,
507,,
508,,
509,,
510,,
511,,
512,MCL Chapter 8.12.020  Keeping of chickens.No person shall keep chickens within the metropolitan government area in such a manner that a nuisance is created.,
513,"MCL Chapter 16.24.440 – No Water – The water supply system shall be installed and maintained to provide a supply of water to plumbing fixtures, devices, and appurtenances in sufficient volume and at pressures adequate to enable the fixtures to function properly, safely and free from defects and leaks.",
514,"MCL Chapter 15.72.070   - Discharge of Waste Into Any Body Of Water – Sewage discharging to a stream, river, lake, marsh, watercourse, waterway, well, cave, sinkhole, open ditch, spring, irrigation or drainage system, or any body or accumulation of water, surface or underground, natural or artificial, public or private.  All wastewater lines must be connected to public sanitary sewer or an approved sewage disposal system in accordance with Metro Public Health Department recommendations.",
515,MCL Chapter 15.40.040 – Connect to public sanitary sewer.,
516,"MCL Chapter 15.72.020 - Section B - Sewage running on ground creating a health hazard. All wastewater lines, (Plumbing) must be connected to the public sewer, which is available.",
517,MCL Chapter 15.72.040 - Sewage running on ground surface creating a health hazard due to an improperly maintained Sewage Disposal System.  Repair improperly maintained sewage disposal system in accordance with Metro Public Health Department recommendations.,
518,"MCL Chapter 15.72.060 - Illegal Waste Line(s) – Sewage running on ground surface from an illegal wastewater line.  Connect all wastewater lines to public sanitary sewer or an approved sewage disposal system, in accordance with Metro Public Health Department recommendations.",
519,MCL Chapter 16.12.030 – Faulty Plumbing – All plumbing shall be maintained in a proper operating condition and in accordance with the Metropolitan Plumbing Code.,
520,Other:,
521,Section 10.20.130 (B) - It is unlawful for any person to dispose of or cause to be disposed any waste in any private receptacle other than the person's own private receptacle or unless authorized to do so by the owner of the private receptacle.,
522,Section 10.20.130 (A) – Dumping permitted in designated places only. It is unlawful for any person to dispose of any waste upon any property other than a disposal facility designated and approved by the Metropolitan Government.,
523,"Failure to register as a landlord.  T.C.A. 66-28-101 requires each landlord of one (1) or more dwelling units within Davidson County to pay a $10 registration fee and furnish the following information to the Department of Codes (A) the landlord's name, address and telephone number, or the name, address and telephone number of the landlord's agent; and (B) list the street address and unit number, as appropriate, for each dwelling unit that the landlord owns, leases, or subleases or has the right to own, lease, or sublease.  Fee is due and payable the same time period as Metro Property Taxes.  Make checks payable to the Metro Dept. of Codes & Building Safety.  Mail or bring to: Landlord Registration, 800 Second Avenue South, 3rd Floor, Nashville, TN 37210.  Registration forms may be obtained from www.nashville.gov/codes or by calling 615-862-6590.",
524,,
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,
533,,
534,,
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,,
545,,
546,,
547,,
548,,
549,,
550,,
551,,
552,,
553,,
554,,
555,,
556,,
557,,
558,,
559,,
560,,
561,,
562,,
563,,
564,,
565,,
566,,
567,,
568,,
569,,
570,,
571,,
572,,
573,,
574,,
575,,
576,,
577,,
578,,
579,,
580,,
581,,
582,,
583,-Properly extend the vents a minimum of 6” above the roof.,
584,,
585,,
586,,
587,,
588,,
589,,
590,,
591,,
592,,
593,,
594,,
595,,
596,,
597,,
598,,
599,,
600,,
601,,
602,,
603,,
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,,
619,,
620,,
621,"16.24.410.D - A minimum of one water closet, one lavatory, and one drinking facility shall be available to employees.",
622,,
623,,
624,,
625,,
626,,
627,,
628,,
629,,
630,"-Repair exterior (brick veneer-stone) walls, replace all loose or missing mortar joints so as to be weather tight and water tight.",
631,,
632,,
633,,
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,
645,,
646,,
647,,
648,"-Overhaul windows; provide sound glass, sash, frames, sills, window facings, window guides and restore to good working condition.  NOTE: windows must be able to stay up in a fixed position without the support of a stick or other means to keep it up.",
649,,
650,,
651,,
652,,
653,,
654,,
655,,
656,,
657,,
658,,
659,,
660,,
661,,
662,,
663,,
664,"-Replace or repair all damaged interior walls, ceilings, floors, doors and woodwork; paint, paper or otherwise provide a clean finish for all walls, ceilings, doors and woodwork.",
665,,
666,,
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,-Raise and level floors; provide sound floor joists and piers where needed.,
675,,
676,,
677,,
678,,
679,,
680,"-Provide handrails for (stairway to basement; attic, upstairs bedrooms, from porch steps). NOTE: Handrail is required on one side of a stairway of three (3) or more risers.   Porches located more than thirty (30) inches above the floor or grade below shal",
681,,
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,-Provide metal regulation garbage container with cover not to exceed thirty (30) gallon capacity.,
695,,
696,,
697,,
698,"-Substantially repair (fences, sheds, garages) (be specific of what you want done like: replace rotted fence post, planks, rusted fence wire or broken wire; replace or repair defective siding.  Repair doors, repair roof where leaking and paint all exterio",
699,,
700,,
701,,
702,"-Remove (used lumber, debris, refrigerator, abandoned furniture, stove, dead tree limbs, or junk or abandoned car or truck) from property within ten (10) days upon receipt of this report. ",
703,,
704,-Remove all combustible materials -within ten (10) days upon receipt of this report.,
705,,
706,"The owner, party in interest, lessee, agent, or person or entity in control of such dwelling or structure that is unfit for",
707,,
708,,
709,Section 17.32.050 (R ) - Prohibited Signs (Harmful): signs displaying copy that is harmful to minors as defined by this title.,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,MCL Chapter 10.32.130 – Permitting garbage and trash to accumulate creating food and harborage for rats.  To clean premises of all garbage and trash.,
722,"MCL Chapter 10.32.140 - Permitting lumber, junk, barrels, boxes, bricks or other similar materials to accumulate on any premises, vacant lots or alley, creating a possible rat harborage.  To clean premises of all lumber, junk, trash, barrels, bricks or other similar materials.",
723,"MCL Chapter 10.32.160 – The chief medical director may order the person in ownership or control of any property or facility storing tires where stagnant water may collect to eliminate the collection of water in the tires and employ other adequate measures to prevent the breeding or harborage of insects, rodents and other pests.",
724,"MCL Chapter 10.36.020 a -  Every dwelling and every part of premises shall be kept clean and free from any accumulation of dirt, filth, rubbish, garbage or similar matter and shall be kept free from vermin or rodent infestation.",
725,,
726,Section 6.28.030 ( C) STRP Permit Required: No person or entity shall operate a STRP or advertise a residential property for use as a STRP without the owner of the property first having obtained a STRP permit issued by the department of codes administration.,
727,"Section 6.28.030 (A) Short Term Rental Property: A. For purposes of this section, “Short Term Rental Property (STRP)” means a residential dwelling unit containing not more than four sleeping rooms that is used and/or advertised for rent for transient occupancy by guests as those terms are defined in Section 5.12.010 of the metropolitan code.",
728,"Section 6.28.030 (B) Owner Occupied: For purposes of this section, “owner-occupied” means the owner of the property permanently resides in the STRP or in the principal residential unit with which the STRP is associated on the same lot.",
729,"Section 6.28.030 (E) Signage: Signs, advertising, or any other display on the property indicating that the dwelling unit is being utilized, in whole or in part, as a STRP is prohibited.",
730,Section 6.28.030 (F) Noise: All STRP occupants shall abide by all applicable noise restrictions contained in the Metropolitan Code and all applicable waste management provisions of Chapter 10.20 of the Metropolitan Code.,
731,"Section 6.28.030(H) Prohibited Vehicles:  No recreational vehicles, buses, or trailers shall be visible on the street or property in conjunction with the STRP use.",
732,Section 6.28.030 (I) Food To Guests Prohibited: No food shall be prepared for or served to the transient by the permit holder.,
733,Section 6.28.030 ( K) Maximum Occupancy: The maximum number of paying adult guests permitted on a STRP property at any one time shall not exceed more than twice the number of sleeping rooms plus four. Simultaneous rental to more than one party under separate contracts shall not be allowed. The occupancy maximum shall be conspicuously posted within the STRP unit.,
734,Section 6.28.030 (L) Occupancy Time Limts: The STRP owner shall not receive any compensation or remuneration to permit occupancy of a STRP for a period of less than twenty-four (24) hours. The maximum stay for any guest shall be thirty (30) consecutive days.,
735,M.C.L 7.08.020: No person shall sell beer within the territorial jurisdiction of the metropolitan government without being the holder of a valid annual permit issued by the metropolitan beer permit board.,
736,"M.C.L 7.08.030B: A retailer's ""off-sale"" permit shall be issued to any person engaged in the sale of beer for consumption and not resale where the beer sold is not to be consumed by the purchaser upon or near the premises of such seller.",
737,"M.C.L 7.08.030C: A retailer's ""on-sale"" permit shall be issued to any person engaged in the sale of beer where the beer is to be consumed by the purchaser or his guests upon the premises of the seller. A retailer's on-sale permit may be issued to regularly conducted hotels or motels and to regularly incorporated clubs and lodges in which places beer may be sold and consumed by the purchaser when a retailer's on-sale permit has been issued for the premises.",
738,"M.C.L 7.08.030D: A caterer's permit shall be issued to any person who has obtained a caterer license from the state alcoholic beverage commission for sale and consumption of wine and other alcoholic beverages, pursuant to Chapter 4 of Title 57 of the Tennessee Code Annotated (T.C.A. § 57-4-101 et seq.), and who is engaged in the sale of beer where the beer is to be consumed by the purchaser or his guests upon the premises of the catered event site.",
739,"M.C.L 7.08.030E: A retailer's special events permit shall be issued to any person en­gaged in the sale of beer for consumption by the purchaser upon the pre­mises of the seller for a specified period of time, and in conjunction with certain types of activities, including, but not limited to fairs, bazaars, and similar public or private social events. ",
740,"M.C.L 7.08.040B3: That no person, firm, corporation, joint-stock company, syndicate, or association having a least a five percent ownership interest in the establish­ment has been convicted of any violation of the laws against possession, sale, manufacture, or transportation of beer or other alcoholic beverages or any crime involving moral turpitude within the past ten years;",
741,"M.C.L 7.08.040B5: That no person having at least a five percent ownership interest in the establishment has been released from incarceration within the past ten years for conviction of any crime involving moral turpitude. Proof of the date of release from incarceration of any applicant convicted of any crime involving moral turpitude shall be furnished by the applicant to the beer board prior to the consideration of such application. For purposes of this subsection, ""moral turpitude"" means premeditated murder, all sex related crimes, the illegal sale of Schedule I and II controlled substances, and crimes of fraud or embezzlement.",
742,M.C.L 7.08.040G: An applicant or permit holder shall amend or supplement the information provided in its application promptly if a change in circumstances affects the responses in its application.,
743,"M.C.L 7.08.040H: Any applicant making a false statement in an application shall forfeit his permit, and shall not be eligible to receive any permit for a period of ten years. ",
744,"M.C.L 7.08.060B: All permit holders shall pay an annual privilege tax of one hundred dollars to the metropolitan beer permit board for the privilege of selling beer within the state, pursuant to Tennessee Code Annotated Section 57-5-104(b)(1).",
745,"M.C.L 7.08.070A: The premises are declared to be a public place for the purpose of inspection by the beer inspectors, by officers of the police department or by any other duly authorized law enforcement officer.",
746,"M.C.L 7.08.070B: The permit holder shall keep invoices and all other memoranda fully descriptive relating in any way to the storing, sale, distribution by sale or gift or manufacture of beer, and he shall permit the director of finance or his duly authorized agents, representatives, or employees to inspect, at any time during the business hours of the day, all such articles, containers, packages, invoices, books, papers and memoranda as may be deemed necessary in the opinion of the director of finance or his authorized agent, representative or employee in ascertaining whether or not all state and local taxes have been paid or in determining the amount of such taxes may be due.",
747,"M.C.L 7.08.070C: The permit holder shall display all permits issued pursuant to this article in a conspicuous place, together with all other permits, licenses and stamps required by law.",
748,"M.C.L 7.08.070D: The holder of a retailer's ""off-sale"" permit shall post, in a prominent place easily seen by customers, a sign supplied by the metropolitan beer permit board that includes the following language:  It is unlawful to possess any alcoholic beverage in an opened glass, aluminum, or metal container on these premises or other area generally open to the public. (Ord. 2003-1476 1, 2003; prior code 5-1-18.1)",
749,"M.C.L 7.08.080: The specific address or description of the premises where beer is authorized to be sold shall be stated on the face of each permit issued by the metropolitan beer permit board, and no permit shall be valid unless such address or description of the premises is stated on the face of such permit.  Prior code 5-1-21",
750,"M.C.L 7.08.100: Retailer on-sale beer permits shall not be issued except to performing arts facilities or to eating establishments where such eating establishments possess seating capacities for not less than sixteen persons and where meals or lunches are regularly served and except to places where the premises are equipped with adequate toilet facilities and handwashing facilities, including hot and cold running water, for use by customers. Establishments selling beer for on-premises consumption shall be constructed of such material that the floors, walls and ceilings can be easily cleaned and kept clean. (Ord. BL2014-743; Ord. 2002-984 § 2, 2002; Ord. 99-1794 § 7 (part), 1999; prior code § 5-1-18.3)",
751,"M.C.L 7.08.105C: All caterer's permit holders shall be required to give advanced written notice to the beer board office via facsimile or U.S. mail, not later than one business day prior to each event for which beer will be sold and consumed. Such notice shall include, but not be limited to, the date, time, and location of the event. ",
752,"M.C.L 7.08.105D: No caterer's permit shall be valid for the sale and consumption of beer on any premises for which a retailer's ""on-sale"" permit has been revoked within the past twelve-month period, nor shall a caterer's permit be used for the sale and consumption of beer on any premises owned or leased by a person, firm, corporation, joint-stock company, syndicate, or association having at least a five percent ownership interest in the establishment that has had a retailer's ""on-sale"" permit revoked within the past twelve-month period.",
753,"M.C.L 7.08.105E: No caterer's permit shall be valid for the sale and consumption of beer on any premises within one hundred feet from a church or a school or its playground, unless the catered event is sponsored and held by the church or private school for the benefit of said church or school.",
754,"M.C.L 7.08.110: for any violation of any provision of state law regulating the sale, storage and transportation of alcoholic beverages by selling liquor to a person under twenty-one years of age, in violation of T.C.A. 57-4-203(b)(1)(A) ",
755,"M.C.L 7.08.130A: It is unlawful for any person To bring, to cause, or allow to be brought onto the premises of any permittee under the provisions of this chapter any prohibited drugs within the meaning of Tennessee Code Annotated, Sections 53-10-101, et seq., and 39-17-401, et seq.",
756,"M.C.L 7.08.130B: It is unlawful for any person To bring, to cause, or allow to be brought onto the premises of any permittee under the provisions of this chapter any intoxicating beverage, the alcoholic content of which is in excess of eight percent by weight, unless such permittee is the holder of a valid license issued under the authority of Tennessee Code Annotated, Title 57, Chapter 4 (T.C.A. section 57-4-101 et seq.) ",
757,"M.C.L 7.08.130C: It is unlawful for any person Being under the age of twenty-one years, to have in his or her possession beer for any purpose, except that any person eighteen years of age or older may transport, possess, sell or dispense alcoholic beverages, wine or beer in the course of his or her employment.",
758,"M.C.L 7.08.140A: It is unlawful for any beer permit holder or his agent or employee To employ any person convicted for the possession, sale, manufacturing or transportation of intoxicating liquor or any crime involving moral turpitude within the past ten years",
759,"M.C.L 7.08.140B: It is unlawful for any beer permit holder or his agent or employee To employ any person that has been released from incarceration within the past ten years for conviction of any crime involving moral turpitude. For purposes of this subsection, ""moral turpitude"" means premeditated murder, all sex related crimes, the illegal sale of Schedule I and II controlled substances, and crimes of fraud or embezzlement. ",
760,M.C.L 7.08.140C: It is unlawful for any beer permit holder or his agent or employee To make or permit to be made any sale of beer to a person under twenty-one years of age. ,
761,"M.C.L 7.08.140D: It is unlawful for any beer permit holder or his agent or employee To sell, give away, or allow beer to be consumed on any premises granted a permit under this chapter from three o'clock (3:00) a.m. to six o'clock (6:00) a.m. on weekdays and from three o'clock (3:00) a.m. to ten o'clock (10:00) a.m. on Sundays ",
762,"M.C.L 7.08.140E: It is unlawful for any beer permit holder or his agent or employee To allow any person under eighteen years of age to loiter or congregate about the premises. The burden of ascertaining the age of minor persons shall be on the permit holder and his agent or employee. When a minor is seated at a table, there shall be no beer served at the table unless such minor is accompanied by one or both of his parents, but only if served in conjunction with food. ",
763,M.C.L 7.08.140F: It is unlawful for any beer permit holder or his agent or employee To make false statement of a material fact in his application for any beer permit. ,
764,M.C.L 7.08.140G: It is unlawful for any beer permit holder or his agent or employee To operate a disorderly place. ,
765,M.C.L 7.08.140H: It is unlawful for any beer permit holder or his agent or employee To knowingly allow beer to be passed from a lawful purchaser or possessor to a minor for consumption on the premises of the permit holder. The burden of ascertaining the age of persons who may not lawfully possess beer shall be on the permit holder and his agent or employee. ,
766,M.C.L 7.08.140I: It is unlawful for any beer permit holder or his agent or employee For a retailer to knowingly sell to a lawful purchaser who purchases beer for consumption by a minor. The burden of ascertaining the age of persons who may lawfully possess beer shall be on the permit holder and his agent or employee.,
767,M.C.L 7.08.140J: It is unlawful for any beer permit holder or his agent or employee To permit boisterous or disorderly conduct on the premises. ,
768,"M.C.L 7.08.140K: It is unlawful for any beer permit holder or his agent or employee To sell or transfer the equipment or assets of the business authorized by his permit to another for the purpose of continuing the business on the same premises, unless he shall notify the board in writing immediately upon such sale or transfer, and unless he shall give the name and address of the purchaser within said notice. A beer permit holder shall surrender his license to the board within thirty days after the sale or transfer is consummated. ",
769,"M.C.L 7.08.140L: It is unlawful for any beer permit holder or his agent or employee To Make or allow any sale to any intoxicated person or to any feebleminded, insane or otherwise mentally incapacitated person.",
770,M.C.L 7.08.140M: It is unlawful for any beer permit holder or his agent or employee Allow any intoxicated person to loiter on or about his premises. ,
771,"M.C.L 7.08.140O: It is unlawful for any beer permit holder or his agent or employee  For any wholesaler or manufacturer to sell or deliver beer, or use, operate or cause to be operated any vehicle carrying beer, within the metropolitan government area after eleven o'clock (11:00) p.m. or before three o'clock (3:00) a.m. This provision shall also apply to platform sales in addition to ordinary deliveries. This subsection shall not apply, however, to trucks returning to the warehouse or to or from a point for the purpose of vehicle repair and further, this subsection shall not apply to trucks transporting beer for delivery outside of the area of metropolitan government. ",
772,"M.C.L 7.08.140P: It is unlawful for any beer permit holder or his agent or employee For a retailer or wholesaler, to store beer in any place other than the address listed on the permit. ",
773,M.C.L 7.08.140Q: It is unlawful for any beer permit holder or his agent or employee To sell or allow to be sold on the premises of the permittee beer to any person using food stamps issued pursuant to state or federal law for the purchase of such beer. ,
774,M.C.L 7.08.140R: It is unlawful for any beer permit holder or his agent or employee To allow gambling or gambling devices of any kind or description contrary to state law on the premises. ,
775,M.C.L 7.08.140S: It is unlawful for any beer permit holder or his agent or employee To allow solicitation for purposes of prostitution on the premises. ,
776,M.C.L 7.08.140T: It is unlawful for any beer permit holder or his agent or employee To allow or engage in any criminal activity on the premises. ,
777,"M.C.L 7.08.150B:  Revocation, suspension or imposition of a civil penalty may be made where it appears satisfactorily that the premises of any person, firm or corporation holding a beer permit under this chapter are being operated in such manner as to be detrimental to public health, safety and morals.",
