,VIOLATION_DESC,VIOLATION_TEXT
260,BOARDING OF VACANT BUILDINGS,"Section 16.24.340 (U) (1) – Boarding of Vacant Buildings Required: A vacant building or structure deem[ed] to be unsafe, or considered a hazard to the public health, safety, or welfare, [shall] be locked, boarded or otherwise secured."
261,CERTIFICATE OF OCCUPANCY REQUIRED,"Section 16.24.130 – Certificate of Occupancy Required: It is unlawful to acquire utility services to serve any vacant dilapidated or substandard building or structure or part thereof, or any existing dilapidated or substandard building or structure, or part thereof, becoming vacant, until such time as the building or structure has been brought into compliance with chapter 16.24 and a valid certificate of occupancy has been issued."
262,EXTERIOR PROP AREA – FENCES  BARBED WIRE,Section 16.24.330 (O) – Fences (Barbed Wire): Barbed wire or razor wire fencing shall be prohibited in all residential zoning districts unless the property satisfies all of the requirements of Section 17.16.330.
263,EXTERIOR PROP AREA – ACCES STRUCTURES,"Section 16.24.330 (H) – Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained in a structurally sound manner, in good repair, and in an otherwise safe, clean, and sanitary condition."
264,EXTERIOR OF BLDGS – BASEMENT HATCHWAYS,"Section 16.24.340 (R) – Basement Hatchways: Basement hatchways, bulkhead enclosures, and crawl space access doors shall be maintained to prevent the entrance of rodents, rain, and surface drainage water."
265,EXTERIOR OF BUILDINGS - BALCONIES,"Section 16.24.340 (J) – Balconies: Every exterior balcony and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads."
266,EXTERIOR OF BLDGS – CHIMNEYS AND TOWERS,"Section 16.24.340 (K) – Chimneys and towers: All chimneys, cooling towers, smoke stacks, and similar appurtenances shall be maintained structurally safe and sound, and in good repair."
267,EXTERIOR OF BLDGS – DECORATIVE FEATURES,"Section 16.24.340 (H) – Decorative Features: All cornices, belt courses, corbels, terra cotta trim, wall facings, and similar decorative features shall be maintained in good repair with proper anchorage and in a safe condition."
268,EXTERIOR OF BUILDINGS – DECKS,"Section 16.24.340 (J) – Decks: Every exterior deck and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads."
269,EXTERIOR OF BUILDINGS – DOORS,"Section 16.24.340 (Q) – Doors: All exterior doors, door assemblies, and hardware shall be maintained in good condition. Locks at all entrances to dwelling units, rooming units and guestrooms shall tightly secure the door. Locks on means of egress doors shall be in accordance with the requirements of Section 16.24.530 as follows: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys or special knowledge, tools, or effort, except where the door conforms to that permitted by the building code."
270,EXTERIOR PROP AREA – EXHAUST VENTS,"Section 16.24.330 (G) – Exhaust Vents: Exhaust pipes, ducts, conductors, fans, vents, or blowers shall not discharge gases, steam, vapor, hot air, crease, smoke, odors, or other gaseous or particulate wastes directly upon abutting or adjacent public or private property or that of another tenant."
271,EXTERIOR OF BUILDINGS – EXTERIOR WALLS,"Section 16.24.340 (F) – Exterior Walls: All exterior walls shall be free from holes, breaks, and loose or rotting materials, and shall be maintained in a weatherproof and properly coated where required to prevent deterioration."
272,EXTERIOR OF BUILDINGS – FOUNDATION WALLS,Section 16.24.340 (E) – Foundation Walls: All foundation walls shall be maintained plump and free from open cracks and break and shall be kept in such condition so as to prevent the entry of rodents and other pests.
273,EXTERIOR PROP AREA – FENCE MATERIAL MAIN,"Section 16.24.330 (M) – Fence Maintenance: Metal fences shall consist of materials manufactured and/or treated in a manner to prevent rust or corrosion. Wood fences shall be painted, stained or preserved in a manner to maintain the fence in good structural condition. This is not limited to the replacement of broken boards or sections and preventing paint from peeling."
274,EXTERIOR PROP AREA – FENCING MATERIALS,"Section 16.24.330 (L) – Fencing Materials: Fencing shall be either woven wire or chain link, wrought iron, wood, vinyl, steel or aluminum slats, masonry consisting of brick, concrete block, split-face block, dry-stack stones, or stones and mortar;  Plastic or other approved synthetic material, or decorative-type split rail or dry-stack stone used for decorative fences."
275,EXTERIOR PROP AREA – GATES,"Section 16.24.330 (I) – Gates: gates which are required to be self-closing and self-latching, in accordance with the Building Code shall be maintained such that the gate will positively close and latch when released from a still position of six inches from the gatepost."
276,EXTERIOR OF BUILDINGS – GLAZING,Section 16.24.340 (N) – Glazing: All glazing materials shall be maintained free from cracks and holes.
277,EXTERIOR PROP AREA – GRADING REQUIRED,"Section 16.24.330 (C) – Grading Required: All premises shall be graded and maintained to prevent the erosion of soil and to prevent the accumulation of stagnant water thereon, or within any building or structure located thereon."
278,EXTERIOR OF BLDGS – ROOFS– GUTTER SYS,"Section 16.24.340 (G) – Roof Gutters: Roof drains, gutters, and downspouts shall be maintained in good repair and free from obstructions. Water shall not be discharged in a manner that creates a public nuisance."
279,EXTERIOR OF BLDGS – HANDRAILS AND GUARDS,Section 16.24.340 (L) – Handrails and Guards: Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.
280,EXTERIOR OF BLDGS  INSECT SCREENS NONRES,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of food preparation areas, food service areas, or any areas where products to be included or utilized in food for human consumption are processed, manufactured, packaged or stored shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch."
281,EXTERIOR OF BLDGS – INSECT SCREENS RES,"Section 16.24.340 (P) – Insect Screens: During the period from April 1st to November 1st, every door, window and other outside opening required for ventilation of habitable rooms shall be supplied with approved tight fitting screens of not less than sixteen mesh per inch."
282,EXTERIOR OF BUILDINGS – OPENABLE WINDOWS,"Section 16.24.340 (O) – Openable Windows: Every window, other than a fixed window shall open and close easily and shall be capable of being held in either position by window hardware."
283,EXTERIOR OF BLDGS – OVERHANG EXTENSIONS,"Section 16.24.340 (I) – Overhang Extensions: All overhang extensions including, but not limited to canopies, marquees, signs, metal awnings, fire escapes, standpipes, and exhaust ducts shall be maintained in good repair and shall be properly anchored so as to be in a sound condition."
284,EXTERIOR PROP AREA – VEHICLES – PARKING,"Section 16.24.330 (K)(3) – Motor Vehicles (Parking): Every motor vehicle located on private property shall be either stored inside a fully enclosed structure or similarly enclosed area designated and approved for such purposes, or parked or stored in a safe manner on a paved or graveled area, other than a sidewalk."
285,EXTERIOR OF BLDGS – PREMISES ID NONRES,"Section 16.24.340 (C)(2) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Nonresidential property shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property."
286,EXTERIOR OF BUILDINGS – PREMISES ID RES,"Section 16.24.340 (C)(1)– Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Residential property shall have their numbers at least three inches in size, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property."
287,EXTERIOR OF BLDG – PREMISES ID MULTI-FAM,"Section 16.24.340 (C)(3) – Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Multifamily buildings shall have their numbers six inches or larger, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property."
288,EXTERIOR OF BUILDINGS - PORCHES,"Section 16.24.340 (J) – Porches: Every exterior porch and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads."
289,EXTERIOR PROP AREA – DESIGNATED PARKING,Section 16.24.330 (K)(3) – Vehicle Parking Area: Any paved or graveled parking area for private residential property shall not exceed twenty-five percent of the total lot area.
290,EXTERIOR OF BLDGS – TREATMENT METAL SUR,Section 16.24.340 (B) – Protective Treatment (Metal Surfaces): All exterior surfaces shall be maintained in good condition. All metal surfaces subject to rust or corrosion shall be coated to inhibit such rust and corrosion and all surfaces with rust or corrosion shall be stabilized and coated to inhibit future rust and corrosion.
291,EXTERIOR OF BLDGS – TREATMENT (SIDING),"Section 16.24.340 (B) – Protective Treatment (Siding): All exterior surfaces shall be maintained in good condition. All siding and masonry joints, as well as those between the building envelope and the perimeter of windows, doors, and skylights, shall be maintained weather resistant and water tight."
292,EXTERIOR OF BLDGS – PRO TREATMENT (WOOD),"Section 16.24.340 (B) – Protective Treatment (Wood): All exterior surfaces, including but not limited to, doors, door and window frames, cornices, porches, trim balconies, decks and fences shall be maintained in good condition. Exterior wood surfaces, other than decay resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment."
293,EXTERIOR PROP AREA – RODENT HARBORAGE,"Section 16.24.330 (F) – Rodent Harborage: All buildings, structures and exterior property shall be kept free from rodent harborage and infestation and conditions that promote or support rodent harborage and infestation."
294,EXTERIOR OF BLDGS – ROOFS– DRAINAGE SYS,Section 16.24.340 (G) – Roof Drainage: Roof drainage shall be adequate to prevent dampness or deterioration in the walls or interior portion of the building or structure.
295,EXTERIOR OF BLDGS – ROOFS – ROOF SYSTEM,"Section 16.24.340 (G) – Roof System: The roof and flashing shall be sound, tight, and not have defects that admit rain."
296,EXTERIOR PROP AREA – SANITATION,"Section 16.24.330 (A) – Sanitation: All exterior property and premises shall be maintained in a safe, clean, and sanitary condition. The occupant of a building, structure or premises, or part thereof, shall keel that part of the exterior property and premises that such occupant occupies or controls in a safe, clean, and sanitary condition."
297,EXTERIOR PROP AREA – SIDEWALKS,"Section 16.24.330 (D) – Sidewalks and Driveways: All sidewalks, walkways, stairs, driveways, parking spaces, and similar areas shall be kept in a proper state of repair, shall be maintained free from hazardous conditions, and shall be kept in a safe, clean, and sanitary condition."
298,EXTERIOR OF BUILDINGS – STAIRWAYS,"Section 16.24.340 (J) – Stairways: Every exterior stairway and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads."
299,EXTERIOR OF BLDGS – STRUCTURAL MEMBERS,"Section 16.24.340 (D) – Structural Members: All structural members shall be maintained free from deterioration, and shall be capable of safely supporting the imposed dead and live loads."
300,EXTERIOR PROP AREA – SWIMMING POOLS,"Section 16.24.330 (J) – Swimming Pools: Swimming pools shall be maintained in a safe, clean, and sanitary condition, and in good repair."
301,EXTERIOR PROP AREA – TRAILERS WATERCRAFT,"Section 16.24.330 (P) – Trailers and Watercraft: No trailer or watercraft located on private single family or two-family residential property shall be stored in the front yard of the property, but shall be stored on a paved or graveled driveway, or behind the front façade of the residential structure."
302,EXTERIOR PROP AREA – VEH – INOP/UNLC,Section 16.24.330 (K)(1) – Motor Vehicles (Condition): No inoperable or currently unregistered motor vehicle shall be openly parked or stored on any premises within the area of the metropolitan government.
303,EXTERIOR PROP AREA – VEHICLE PAINTING,Section 16.24.330 (K)(4) – Vehicle Painting: Painting of motor vehicles is prohibited unless conducted inside an approved spray booth.
304,EXTERIOR PROP AREA – VEH – DIS/REPAIR,"Section 16.24.330 (K)(1) – Motor Vehicles (Repair): No vehicle shall be at any time in a state of major disassembly or disrepair, nor shall it be in the process of being stripped or dismantled, nor shall it undergo a major overhaul, including body work, on any private property (residential)."
305,EXTERIOR PROP AREA – HIGH WEEDS,Section 16.24.330 (E) – High Weeds: All premises and exterior property shall be maintained free from weeds in excess of twelve inches.
306,"EXT OF BLDGS – WIND, SKYLIT DOOR FRAMES","Section 16.24.340 (M) – Window, Skylight and Door Frames: Every window, skylight, door and frame shall be maintained in good condition."
307,EXTERMINATION – MULTIPLE OCCUPANCY,"Section 16.24.370 (C) - Extermination required (Multiple Occupancy) The owner of a building or structure containing two or more dwelling units, a multiple occupancy, a rooming house, or a nonresidential building or structure shall be responsible for extermination in the public or shared areas of the building or structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied by said occupant, the occupant shall be responsible for extermination."
308,EXTERMINATION – SINGLE OCCUPANT,Section 16.24.370 (B) - Extermination Required (Single Occupant) The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for extermination on the premises.
309,EXTERMINATION – OWNER,"Section 16.24.370 (A) - Extermination Required (Owner Responsibility) The owner of any building or structure shall be responsible for extermination within the building or structure, or part thereof, prior to renting or leasing the building or structure, or part thereof."
310,EXTERMINATION REQUIRED,"Section 16.24.370 - Extermination Required. Approved extermination processes that are not injurious to human health shall be promptly employed to rid any building or structure in which insects or rodents are found. After extermination, proper precautions shall be taken to prevent re-infestation."
311,EXTERMINATION – OCCUPANT,Section 16.24.370 (D) - Extermination Required (Occupant) The occupant of any building or structure shall be responsible for the continued rodent and pest-free condition of the structure.
312,EXTERIOR REPAIR – GENERAL,"Section 16.24.340 – Exterior Repair: The exterior of a building or structure shall be maintained in good repair, structurally sound, and in a clean and sanitary condition so as not to pose a threat to the public health, safety, or welfare."
313,EXTERIOR OF BLDGS – GUARDS BASEMENT WIND,"Section 16.24.340 (S) – Guards for Basement Windows: Every basement or cellar window, that is openable, shall be supplied with screens of standard-size mesh, or other approved protection against the entry of rodents."
314,EXTERIOR OF BUILDINGS – GRAFFITI,"Section 16.24.340 (T) – Defacement of Property: No person shall willfully or wantonly damage, mutilate, or deface any exterior surface of any building or structure, located on any private or public property, by placing thereon any marking, carving, or graffiti. It shall be the duty of the owner of the building, structure, and or real property on which the building or structure is located to restore said surface to an approved state of maintenance and repair."
315,HEATING – HEATING FACILITIES REQUIRED,Section 16.24-470 (A) - Heating Required Heating facilities shall be provided in buildings and structures as required by this section.
316,HEATING – RESIDENTIAL OCCUPANCIES,"Section 16.24.470 (B) - Heating (Residential) Dwellings shall be provided with heating facilities capable of maintaining a room temperature of sixty-five degrees Fahrenheit in all habitable rooms, bathrooms, and toilet rooms based on a winter outdoor design temperature of fourteen degrees Fahrenheit, in accordance with Appendix D of the 2000 Edition of the Standard Plumbing Code."
317,HEATING – HEAT SUPPLY,"Section 16.24.470 (C) - Heat (Supply) Every owner, lessee, or operator of any building or structure who rents, leases, or lets one or more dwelling units, rooming units, dormitory rooms, or guestrooms on terms, either expressed or implied, to furnish heat to the occupants thereof shall supply heat during the period from October 1st to April 30th to maintain a temperature of not less than sixty-five degrees Fahrenheit in all habitable rooms, bathrooms, and toilet rooms."
318,HEAT – OCCUPIABLE WORK SPACES,"Section 16.24.470 (D) - Heat (Work Spaces) Indoor occupiable work spaces shall be supplied with heat during the period from October 1st to April 30th to maintain a temperature of not less than sixty-five degrees Fahrenheit, when the spaces are occupied."
319,INTERIORS OF BLDGS AND STRUCTURES GEN,"Section 16.24.350 (A) – Building Interior (General): The interior of a building or structure and any equipment therein shall be maintained in good repair, structurally sound, and in an otherwise clean and sanitary condition. Occupants shall keep that part of the building or structure that they occupy or control in a clean and sanitary condition. Every owner of a building or structure containing a rooming house, a hotel, a dormitory, two or more dwelling units, or two or more nonresidential occupancies, shall maintain, in a clean and sanitary condition, the shared or public areas of the structure and exterior property."
320,INTERIOR OF BUILDINGS - SURFACES,"Section 16.24.350 (C) - Interior Surfaces. All interior surfaces, including windows and doors, shall be maintained in good, clean and sanitary condition. Peeling, chipping, flaking, or abraded paint shall be repaired, removed, or covered. Cracked or loose plaster, decayed wood, and other defective surface conditions shall be corrected."
321,INTERIOR OF BLDGS – HANDRAILS AND GUARDS,Section 16.24.350 (E) - Handrails and Guards. Every handrail and guard shall be firmly fastened and capable of supporting normally imposed loads and shall be maintained in good condition.
322,INTERIOR OF BUILDINGS – INTERIOR DOORS,"Section 16.24.350 (F) - Interior Doors. Every interior door shall fit reasonably well within its frame and shall be capable of being opened and closed by being properly and securely attached to jambs, headers, or tracks as intended by the manufacturer of the attachment hardware."
323,INTERIOR OF BLDGS – STAIRS WALKING SURF,"Section 16.24.350 (D) - Stairs and Walking Surfaces. Every stair, ramp, landing, balcony, porch, deck or other walking surface shall be maintained in sound condition and in good repair."
324,LIGHT – COMMON HALLS AND STAIRWAYS,"Section 16.24.380 (B) - Light (Common Areas) Every common hall and stairway in residential occupancies, other than in one- and two-family dwellings, shall be lighted at all times with at least a sixty watt standard incandescent light bulb for each two hundred square feet of floor area of said common hall or stairway, or equivalent illumination, provided that the spacing between lights shall not be greater than thirty feet. In other than residential occupancies, means of egress, including exterior means of egress stairways, shall be illuminated at all times with a minimum of one foot candle at floors, landings, and treads."
325,LIGHT – HABITABLE SPACES,"Section 16.24.380 (A) - Light (Habitable Spaces) In residential occupancies, every habitable space shall have at least one window of approved size facing directly to the outdoors or to a court. The minimum total glazed area for every habitable space shall be eight percent of the floor area of such room. Wherever a wall or other obstructions face a window of a habitable space and such obstruction is located less than three feet from the window and extends to a level above that of the ceiling of the habitable space, such window shall not be deemed to face directly to the outdoors nor to a court and shall not be included as contributing to the required minimum total window area for the habitable space."
326,LIGHT – OTHER SPACES,"Section 16.24.380 (C) - Light (Other Spaces) All other spaces in residential and nonresidential buildings and structures shall be provided with natural or artificial light sufficient to permit the maintenance of sanitary conditions, the safe occupancy thereof, and the safe utilization of the appliances, equipment, and fixtures."
327,OCCUPANCY – ACCESS FROM BEDROOMS,Section 16.24.400 (F) - Occupancy (Access to Bedrooms) Bedrooms shall not constitute the only means of access to other bedrooms or habitable spaces and shall not serve as the only means of egress from other habitable spaces.
328,OCCUPANCY – BEDROOM REQUIREMENTS,Section 16.24.400 (D) - Occupancy (Bedroom Requirements) Every bedroom shall comply with the requirements of Sections 16.24.400(E) through 16.24.400(I)
329,OCCUPANCY LIMITS – PRIVACY,"Section 16.24.400 (A) - Occupancy Limits (Privacy) Dwelling units, hotel units, rooming units, and dormitory units shall be arranged to provide privacy and be separate from other adjoining spaces."
330,OCCUPANCY – OVERCROWDING,Section 16.24.400 (J) - Occupancy (Overcrowding) Dwelling units shall not be occupied by more occupants than are permitted by the minimum area requirements of Table 16.24.400.
331,OCCUPANCY – OTHER REQUIREMENTS,"Section 16.24.400 (I) - Occupancy (Other Requirements) Bedrooms shall comply with the applicable provisions of this chapter including, but not limited to, the light, ventilation, room area, ceiling height and room width requirements; the plumbing facilities and water-heating facilities requirements; the heating facilities, electrical receptacle requirements; and the smoke detector and emergency escape requirements."
332,OCCUPANCY PROHIBITED,Section 16.24.400 (H) - Occupancy Prohibited Kitchens and non-habitable spaces shall not be used for sleeping purposes.
333,OCCUPANCY – MINIMUM CEILING HEIGHTS,"Section 16.24.400 (C) - Occupancy (Minimum Ceiling Height) Habitable spaces, hallways, corridors, laundry areas, bathrooms, toilet rooms and habitable basement areas shall have a clear ceiling height of not less than seven feet."
334,OCCUPANCY – MINIMUM ROOM WIDTHS,"Section 16.34.400 (B) - Occupancy (Minimum Room Width) A habitable space, other than a kitchen, shall not be less than seven feet in any plan dimension. Kitchens shall have a clear passageway of not less than three feet between counter fronts and appliances or counter fronts and walls."
335,OCCUPANCY – SLEEPING ROOMS,"Section 16.24.400 (E) - Occupancy (Sleeping Rooms) Every bedroom occupied by one person shall contain at least seventy square feet of floor area, and every bedroom occupied by more than one person shall contain at least fifty square feet of floor area for each occupant thereof."
336,OCCUPANCY – WATER CLOSET ACCESS,Section 16.24.400 (G) - Occupancy (Water Closet Access) Every bedroom shall have access to at least one water closet and one lavatory without passing through another bedroom. Every bedroom in a dwelling unit shall have access to at least one water closet and lavatory located in the same story as the bedroom or an adjacent story.
337,EXTERIOR PROP AREA – OPEN STORAGE - ALL,"Section 16.24.330 (B) – Open Storage: It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of any inoperable, unlicensed, or unregistered motor vehicle; appliance; building material, including glass, brick, stone, wood, or metal; rubbish, tires; automotive parts; or debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items."
338,EXTERIOR PROP AREA – OPEN STOR – DEBRIS,"Section 16.24.330 (B) – Open Storage (Debris): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items."
339,EXTERIOR PROP AREA – OPEN STORAGE – JTD,"Section 16.24.330 (B) – Open Storage (Junk, Trash, and Debris): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of appliances; building materials, including glass, brick, stone, wood, or metal; rubbish, tires; automotive parts; or debris, including but not limited to weeds, dead trees, trash, rubbish, garbage, etc., or similar items."
340,EXTERIOR PROP AREA – OPEN STORAGE - VEH,"Section 16.24.330 (B) – Open Storage (Vehicles): It is unlawful for the owner, occupant, or person or entity in control of a building, structure, or premises to utilize the premises of such property for the open storage of any inoperable, unlicensed, or unregistered motor vehicle and/or tires and automotive parts."
341,FAILURE TO MAINTAIN BLDGS OR STRUCTURES,"Section 16.24.310 – Responsibility: The owner of the premises shall fully maintain the buildings, structures and premises in compliance with the requirements of Metro Codes chapter 16.24. An owner shall not occupy or permit another person to occupy a building, structure, or premises which is not in a safe, clean, and sanitary."
342,RUBBISH AND GARBAGE – DISPOSAL  GARBAGE,Section 16.24.360 (C) - Disposal of Garbage. Every occupant of a building or structure shall dispose of garbage in a clean and sanitary manner by placing such garbage in an approved garbage disposal facility or in approved garbage containers.
343,RUBBISH AND GARBAGE – CONTAINERS,"Section 16.24.360 (E) - Containers. The operator of every establishment producing garbage shall provide, approved leak proof containers with close-fitting covers for the storage of such materials, and shall cause said containers to be utilized at all times. All rubbish and garbage storage facilities and containers shall be provided and handled in such manner as may be prescribed by the rules and regulations of the department of public works and the metropolitan health department."
344,RUBBISH AND GARBAGE – DISPOSAL RUBBISH,Section 16.24.360 (A) - Disposal of Rubbish. Every owner or occupant of a structure shall dispose of all rubbish in a clean and sanitary manner by placing such rubbish in approved containers.
345,RUBBISH AND GARBAGE – GARBAGE FACILITIES,"Section 16.24.360 (D) - Garbage Facilities. The owner of every dwelling shall supply one of the following: An approved mechanical food waste grinder in each dwelling unit; an approved incinerator unit in the structure available to the occupants in each dwelling unit; or an approved leak-proof, covered, outside garbage container accessible and sufficient in capacity to serve each dwelling unit."
346,RUBBISH AND GARBAGE – RUBBISH STORAGE,Section 16.24.360 (B) - Rubbish Storage Facilities. The owner of every occupied premises shall supply approved covered containers for rubbish and shall be responsible for the clean and sanitary removal and disposal of all rubbish.
347,SCHOOL BUSES,"Section 16.24.330 (K) (8) - School Buses: On any property containing a single-family or two-family home, one school bus may be parked or stored on the property, provided the driver of the bus resides on the premises and the bus is operated by a private or public K-12 school or school system in Davidson County. No more than one school bus may be parked or stored on the property, regardless of the number of bus drivers residing on the premises."
348,INTERIOR OF BLDGS – STRUCTURAL MEMBERS,Section 16.24.350 (B) - Structural Members: All structural members shall be structurally sound and capable of supporting the imposed loads.
349,TRACTOR-TRAILER PARKING,"Section 16.24.330 (K) (7) - Tractor-Trailers: On any residential property containing a single family or two-family home, no tractor-trailer (or portion thereof) shall be stored or parked anywhere on the property."
351,COMMERCIAL TRUCK PARKING,"Section 16.24.330 (K) (6) - Trucks: On any residential property containing a single-family or two-family home, no truck with a maximum axle-load capacity of mre than one and one-half tons shall be stored or parked anywhere on the property."
352,VACANT BUILDINGS,"Section 16.24.320 – Vacant Buildings and Structures: All vacant buildings, structures, and the premises thereof, shall be maintained in a safe, clean, and sanitary condition as provided herein so as not to cause blight and or otherwise adversely affect the public health, safety, or welfare."
353,VENTILATION – BATHROOMS AND TOILET ROOMS,"Section 16.24.390 (B) - Ventilation (Bathrooms) Every bathroom and toilet room shall comply with the ventilation requirements for habitable spaces as required above, except that a window shall not be required in such spaces equipped with a mechanical ventilation system of sufficient capacity to provide at least one complete air change each six minutes. Air exhausted by a mechanical ventilation system from a bathroom or toilet room shall discharge to the outdoors and shall not be re-circulated."
354,VENTILATION – COOKING FACILITIES,"Section 16.24.390 (C) - Ventilation (Cooking Facilities) Unless approved through the certificate of occupancy, cooking shall not be permitted in any rooming unit or dormitory unit, and a cooking facility or appliance shall not be permitted to be present in a rooming unit or dormitory unit."
355,VENTILATION – CLOTHES DRYER EXHAUST,Section 16.24.390 (E) - Ventilation (Clothes Dryer Exhaust) Systems to manage exhaust from clothes dryers shall be independent of all other systems and shall be installed in accordance with the manufacturer's instructions.
356,VENTILATION – HABITABLE SPACES,"Section 16.24.390 (A) - Ventilation (Habitable Spaces) In dwelling units, every habitable space shall have at least one openable window. The total openable area of the window in every room shall be equal to at least forty-five percent of the minimum glazed area required in Section 16.24.380."
357,VENTILATION – PROCESS VENTILATION,"Section 16.24.390 (D) - Ventilation (Process) Where injurious, toxic, irritating or noxious fumes, gases, dusts, or mists are generated, a local exhaust ventilation system shall be provided to remove the contaminating agent at the source. Air shall be exhausted to the exterior and not be re-circulated to any interior space."
358,MECHANICAL EQUIP – REMOVE OF COMBUS PROD,Section 16.24.480 (B) - Mechanical Equipment (Combustion Products) All fuel-burning equipment and appliances shall be connected to an approved chimney or vent.
359,MECHANICAL EQUIP – APPLIANCES,"Section 16.24.480 (A) - Mechanical Equipment (Appliances) All mechanical appliances, fireplaces, solid fuel-burning appliances, cooking appliances, and water heating appliances shall be properly installed and maintained in a safe working condition and shall be capable of performing the intended function."
360,PLUMBING – DWELLING UNITS,"Section 16.24.410 (A) - Plumbing (Dwelling Units) Every dwelling unit shall contain a bathtub or shower, lavatory, water closet, and kitchen sink which shall be maintained in a sanitary, safe working condition. The lavatory shall be placed in the same room as the water closet or be located in close proximity to the door leading directly into the room in which such water closet is located. A kitchen sink shall not be used as a substitute for the required lavatory."
361,PLUMBING – EMPLOYEE FACILITIES,"Section 16.24.410 (D) - Plumbing (Employee Facilities) A minimum of one water closet, one lavatory, and one drinking facility shall be available to employees. Drinking facilities shall be a drinking fountain, water cooler, bottled water cooler, or disposable cups next to a sink or water dispenser. Drinking facilities shall not be located in toilet rooms or bathrooms."
362,PLUMBING SYSTEMS – FIXTURE CLEARANCE,Section 16.24.430 (B) - Plumbing Systems (Fixtures) All plumbing fixtures shall have adequate clearances for usage and cleaning.
363,PLUMBING SYSTEMS – GENERAL REQUIREMENTS,"Section 16.24.430 (A) - Plumbing Systems (General) All plumbing fixtures shall be properly installed and maintained in working order, shall be kept free from obstructions, leaks and defects, and shall be capable of performing the function for which such plumbing fixtures are designed. All plumbing fixtures shall be maintained in a safe, sanitary and functional condition."
364,PLUMBING – HOTEL,"Section 16.24.410 (C) - Plumbing (Hotel) Where private water closets, lavatories, and baths or showers are not provided, one water closet, one lavatory, and one bathtub or shower having access from a public hallway shall be provided for each ten occupants of any hotel."
365,PLUMBING – ROOMING HOUSES,"Section 16.24.410 (B) - Plumbing (Rooming Houses) At least one water closet, lavatory, and bathtub or shower shall be supplied for each four rooming units in a rooming house."
366,PLUMBING SYSTEMS – SYSTEM HAZARDS,"Section 16.24.430 (C) - Plumbing Systems (Hazards) Where it is found that a plumbing fixture or system in a building, structure, or premises constitutes a hazard to the occupants or the building, structure, or premises by reason of inadequate service, inadequate venting, cross connection, back siphonage, improper installation, deterioration, damage, or for similar reasons, the director shall require the defects to be corrected to eliminate the hazard."
367,SANITARY DRAINAGE SYSTEM – MAINTENANCE,"Section 16.24.450 (B) - Sanitary Drainage (Maintenance) Every plumbing stack, vent, and waste and sewer line shall function properly and be kept free from obstructions, leaks, and defects."
368,SANITARY DRAINAGE SYSTEM – GENERAL,Section 16.24.450 (A) - Sanitary Drainage (General) All plumbing fixtures shall be properly connected to either a public sewer system or to an approved private sewage disposal system.
369,TOILET ROOMS – LOCATION,"Section 16.24.420 (B) - Toilet Rooms (Location) Toilet rooms and bathrooms serving hotel units, rooming units, or dormitory units, shall have access by traversing not more than one flight of stairs and shall have access from a common hall or passageway."
370,TOILET ROOMS – PRIVACY,"Section 16.24.420 (A) - Toilet Rooms (Privacy) Toilet rooms and bathrooms shall provide privacy and shall not constitute the only passageway to a hall, other space, or to the exterior. A door and interior locking device shall be provided for all common or shared bathrooms and toilet rooms in a multiple dwelling."
371,TOILET ROOMS – EMPLOYEE TOILET FACILITIE,Section 16.24.420 (C) - Toilet Rooms Toilet facilities for employee use shall have access from within the employees' regular working area. Required toilet facilities shall be located not more than one story above or below the employees' regular working area and the path of travel to such facilities shall not exceed a distance of five hundred feet. Employee facilities shall either be separate facilities or public customer facilities.
