,3212.0
"junk/trash/debris,",2.0
junk/trash/debris.open,1.0
junk/trash/debris/premises,1.0
junk/trash/debrisaddress,1.0
junk/trash/debriselectrical,1.0
junk/trash/debrisexterior,3.0
junk/trash/debrisopen,11.0
junkaddress,2.0
junkboat,1.0
junkbuilding,1.0
junkcommercial,2.0
junked,4.0
junkexterior,16.0
junkhigh,12.0
junkopen,82.0
junkparking,1.0
junkswimming,1.0
junkunlic,2.0
junkvehicle,1.0
"junkyard,",1.0
junl,1.0
junsk,1.0
just,23.0
k,4.0
k),1.0
k-mart,1.0
"k1500,",1.0
k2624kunlic,1.0
kabobelectronic,1.0
kaccessory,1.0
karene,13.0
kassia,1.0
keep,4.0
keeping,1.0
keeps,3.0
keeton,3.0
keith,1.0
kennel,2.0
kept,2.0
kermit,4.0
kexterior,1.0
keypad,1.0
keypads,1.0
kia,6.0
kia.,2.0
kicks,1.0
kiddie,3.0
kids,9.0
kids)open,1.0
kids.,1.0
kidsfailure,1.0
killing,1.0
kind,16.0
kindly,1.0
king,2.0
kinghigh,1.0
kipling,3.0
kitchen,42.0
kiva,2.0
kiva.,1.0
kivacommercial,1.0
kivaunlic,1.0
km,1.0
kmartunlic,1.0
knee,1.0
knobs,3.0
"knobs,open",1.0
"knobs,other",1.0
"knobs,paint",1.0
"knobs,raise",1.0
knock-out,1.0
knocked,1.0
know,6.0
knowing,1.0
knows,1.0
knox,1.0
kroger,1.0
kroger.,1.0
krogerrubbish,1.0
krystal,1.0
krystals.,1.0
krystalsigns,2.0
ksantisgarden.comparking,1.0
kw)exterior,1.0
kwick,1.0
kwik,3.0
l,1.0
"l,",1.0
l-104,1.0
l77-33e)vehicle,1.0
la,3.0
labelled,1.0
labelled;,1.0
lack,1.0
lacks,3.0
ladder,2.0
ladders,1.0
lady,4.0
ladybuilding,1.0
laid,1.0
lake.open,1.0
"lakeshore,",1.0
lakeshorehigh,1.0
lakeview,1.0
lakevilla.,1.0
lakewalk,1.0
lamp,2.0
lampostopen,1.0
land,5.0
landfill.exterior,1.0
landhigh,2.0
landing,1.0
landingsexterior,1.0
landlandlandlord,1.0
landloed,1.0
landlord,51.0
landlord;,2.0
landlordexterior,2.0
landlordflandlord,1.0
landlordhigh,1.0
landlordlandlord,13.0
landlordparking,1.0
landmark,1.0
landrovervehicle,1.0
landscape,7.0
landscaping,12.0
landscaping/tree,1.0
landscaping;,1.0
landscapingexterior,1.0
landscapinguse,1.0
lane,4.0
lane.open,1.0
lanehigh,1.0
laneopen,2.0
lanes,1.0
language,1.0
large,61.0
large?open,1.0
largely,1.0
larger,3.0
larkway,2.0
las,1.0
last,7.0
latching,1.0
late,2.0
latino,2.0
lattice,1.0
laundry,3.0
lavatory,16.0
"lavatory,interior",3.0
"lavatory,other",1.0
lavergne,1.0
lawn,26.0
"lawn,",1.0
lawn.,1.0
lawn;,1.0
lawnaccessory,1.0
lawncare,2.0
lawncareprohibited,1.0
lawnexterior,2.0
lawnmower,1.0
lawnmowers,3.0
lawnmowers.,1.0
lawnopen,5.0
lawnparking,2.0
lawrence,1.0
laying,16.0
layingin,1.0
lea.,1.0
leading,1.0
leak,6.0
"leak,",5.0
leak.,2.0
leakage,2.0
leakagesanitary,1.0
leaked,1.0
leakexterior,2.0
leaking,22.0
"leaking,",1.0
"leaking,rotted",1.0
"leaking,rotted,",4.0
"leaking,rusted",1.0
"leaking,sanitary",1.0
"leaking,underpinning,",1.0
"leaking,unlic",2.0
"leaking,use",1.0
leaking.,1.0
leaking;,1.0
leakingplumbing,1.0
leaks,4.0
"leaks,",3.0
leaksanitary,1.0
lean,2.0
lean-toexterior,1.0
leaned,1.0
leaning,30.0
learning,1.0
"leasingbanners,on-premises",1.0
least,14.0
leave,9.0
leaves,21.0
leaves.exterior,1.0
leaves/trash,1.0
leavesexterior,2.0
leaving,9.0
leb,1.0
leb.,1.0
lebanon,10.0
led,18.0
lee,1.0
left,43.0
left),1.0
left)high,3.0
left)unlic,2.0
left.open,1.0
left;,1.0
leftover,2.0
leftoveropen,1.0
legal,2.0
"legal.banners,prohibited",1.0
legal.prohibited,1.0
lera,1.0
lesabreaddress,1.0
leslie,2.0
less,2.0
let,2.0
letting,1.0
level,19.0
level),19.0
"level,",1.0
level;,1.0
lexus,5.0
lft,1.0
liberty,2.0
lic,3.0
license,18.0
licensed,1.0
"licensed,",1.0
licenseexterior,1.0
lick,2.0
lid,4.0
lids,1.0
lids.,1.0
lift,1.0
"lifts,",1.0
light,25.0
"light,exterior",1.0
"light,extermination",1.0
"light,fire",1.0
"light,repair",1.0
"light,replace,",1.0
"light,use",1.0
lighting,42.0
lightinglight,1.0
lightning,1.0
lights,24.0
lights.,1.0
lights/fixture,1.0
like,19.0
likely,1.0
limb,3.0
limb)open,1.0
limbs,19.0
"limbs,",1.0
limbsexterior,1.0
limbshigh,2.0
limbsopen,1.0
limit,46.0
limit.,7.0
limit.excess,8.0
limit.strp,4.0
limitexcess,17.0
limitheat,1.0
limiting,1.0
limitoccupancy,2.0
limitovercrowding,2.0
limits,4.0
"limits,sewage",1.0
limits.,1.0
limitstrp,3.0
limitsuse,2.0
limituse,10.0
limo,6.0
limos,1.0
lincoln,5.0
"lincoln,",1.0
lincoln.unlic,1.0
line,36.0
"line,",3.0
"line,damaged",1.0
"line,exterior",1.0
"line,sewage",1.0
line.,2.0
line.high,1.0
line.parking,1.0
linebuilding,1.0
lined,1.0
lineexterior,6.0
linefence,1.0
linehigh,5.0
lineopen,8.0
liner,1.0
lines,9.0
"lines,defective",1.0
"lines,drain",1.0
"lines,electrical",1.0
"lines,exterior",2.0
"lines,interior",1.0
"lines,leaking",1.0
"lines,other",1.0
"lines,plumbing",1.0
linesaccessory,1.0
linesopen,1.0
lining,3.0
link,13.0
lion,1.0
lipscomb.open,1.0
lipstick,2.0
liquid,2.0
liquidators.open,1.0
liquids,1.0
liquor,2.0
liquor's)abandoned,1.0
liquors,1.0
liquors.,1.0
list,1.0
listed,3.0
listing,1.0
listings,1.0
listingstrp,1.0
liter,1.0
litter,64.0
"litter,",9.0
litter.exterior,2.0
litter/feces,1.0
litter8ing,1.0
"litterdirt,",7.0
littered,2.0
litterexterior,2.0
littering,5.0
litterlitter,1.0
litteropen,5.0
litteruse,1.0
little,2.0
litton,1.0
"litton)

may",1.0
live,31.0
lived,3.0
lives,6.0
livestock,1.0
living,320.0
ll,24.0
ll.,5.0
llc,3.0
llcuse,1.0
llhigh,1.0
lllandlord,3.0
ln,2.0
ln.,3.0
ln.exterior,1.0
ln.open,2.0
lnexterior,1.0
lnhigh,1.0
lnopen,2.0
lnunlic,2.0
load,2.0
loaded,4.0
loading,2.0
loads,3.0
loan,1.0
loans,1.0
loansigns,1.0
loansprohibited,1.0
loansuse,1.0
local,1.0
located,33.0
location,4.0
"location,open",1.0
locationprohibited,1.0
locations,2.0
locationuse,1.0
lock,1.0
locked,1.0
lockedfire,1.0
lodge,1.0
logexterior,1.0
loghigh,1.0
logs,2.0
long,7.0
long.,1.0
longer,4.0
look,10.0
"look,",1.0
look.,1.0
looked,2.0
looking,3.0
looks,14.0
loose,21.0
"loose,",2.0
loosebuilding,1.0
lossbuilding,1.0
lot,217.0
lot's,3.0
lot)open,1.0
"lot,",11.0
"lot,exterior",1.0
lot-,2.0
lot------trash,1.0
lot-high,2.0
lot.,46.0
lot.accessory,1.0
lot.commercial,1.0
lot.exterior,4.0
lot.graffiti,1.0
lot.high,6.0
lot.open,8.0
lot.parking,1.0
lot.sidewalk,1.0
lot.unlic,1.0
lot.use,1.0
lot/,1.0
lot//,1.0
lot///grasshigh,2.0
lot/car,1.0
lot/grass/trashhigh,1.0
lot/grasshigh,4.0
lot/motorclyle,1.0
lot;,5.0
lot;vehicle,1.0
lotabandoned,1.0
"lotbanners,prohibited",1.0
lotbuilding,2.0
lotcertificate,1.0
lotcommercial,1.0
lotdilapidated,1.0
lotexterior,36.0
lotfailure,1.0
lotfence,1.0
lotgarbage,1.0
lothigh,136.0
lotillegal,1.0
lotlitter,1.0
lotopen,61.0
lotparking,8.0
lotpaving,2.0
lotprohibited,1.0
lots,18.0
"lots,",1.0
"lots,09212022100,09212021200,",1.0
lots.open,1.0
lotshigh,1.0
lotsidewalk,2.0
lotsigns,2.0
lottery,1.0
lotunlic,8.0
lotuse,9.0
loud,3.0
loud.,1.0
loud.use,1.0
loungeexterior,1.0
loungesigns,1.0
love,1.0
loveseat,1.0
loveseat),1.0
"lowe'sbanners,prohibited",1.0
lower,1.0
lowes,1.0
"lowes,",1.0
loweshazardous,1.0
loxley,1.0
lp.,1.0
ltd,2.0
ltd)vehicle,1.0
lube.,1.0
lubeopen,1.0
lumber,7.0
lumber)exterior,1.0
"lumber,",2.0
lumber.,1.0
lumber/cansopen,1.0
lumberbuilding,1.0
lumberopen,3.0
luna,1.0
lunn,1.0
luree,1.0
luton,1.0
lying,1.0
lynn,1.0
m&p,1.0
"m,",1.0
m1676runlic,1.0
m6825p.,1.0
m69-50pexterior,1.0
mac,1.0
machine,15.0
"machine,",2.0
"machine,interior",1.0
machineopen,1.0
machinery,4.0
machineryopen,1.0
machines,2.0
"machines,",1.0
machines.,1.0
maching,1.0
mad,1.0
made,14.0
madison,2.0
mafiaoza's,1.0
magnetic,1.0
magnolia,1.0
magnum,1.0
maid,1.0
mail,1.0
"mail
junk,",1.0
"mail
possible",1.0
mail.,1.0
mailbox,20.0
"mailbox,",3.0
mailbox-bricks,1.0
mailbox.,6.0
mailbox.exterior,1.0
mailbox.vehicle,1.0
mailbox;,1.0
mailboxaccessory,1.0
"mailboxdirt,",1.0
mailboxes,1.0
mailboxes.,2.0
mailboxesuse,1.0
mailboxhigh,1.0
mailboxopen,6.0
mailboxparking,1.0
mailed,1.0
mailing,1.0
mails,1.0
main,76.0
main)high,1.0
"main,exterior",115.0
"main,fence",3.0
"main,fire",1.0
"main,gate",1.0
"main,graffiti",2.0
"main,hazardous",1.0
"main,high",15.0
"main,house",1.0
"main,landlord",1.0
"main,open",33.0
"main,overcrowding",1.0
"main,paint",1.0
"main,parking",2.0
"main,prohibited",1.0
"main,remove",1.0
"main,repair",4.0
"main,sidewalk",1.0
"main,swimming",1.0
"main,unlic",2.0
mainly,39.0
maint,53.0
"maint,",1.0
"maint,smoke",1.0
"maint,stagnant",1.0
"maint,unlic",5.0
maint.,3.0
"maint.,",1.0
"maint.,exterior",1.0
"maint.,sewage",3.0
maint.building,1.0
maint.exterior,1.0
maint/premises,1.0
maintain,8.0
maintained,2.0
maintained;,1.0
maintainedexterior,1.0
maintainedswimming,1.0
maintainenceexterior,1.0
maintains,1.0
maintanenceexterior,4.0
maintenance,99.0
maintenance)failure,1.0
"maintenance,",2.0
"maintenance,high",1.0
"maintenance,interior",1.0
"maintenance,open",2.0
"maintenance,parking",1.0
"maintenance,plumbing",1.0
"maintenance,sewage",15.0
"maintenance,sign",3.0
"maintenance,stagnant",1.0
"maintenance,unlic",4.0
"maintenance,unsafe",1.0
"maintenance,unstop",1.0
"maintenance,ventilation",2.0
"maintenance,water",1.0
maintenance/,1.0
maintenance;,1.0
maintenanceaccessory,1.0
"maintenancedirt,",1.0
maintenanceexterior,4.0
maintenanceopen,1.0
"maintence,",1.0
maintenceexterior,1.0
major,5.0
make,15.0
make.vehicle,2.0
makeshift,6.0
making,7.0
making),1.0
making/painting,1.0
makingexterior,1.0
male,2.0
males,1.0
males.,1.0
malibu,1.0
malibuunlic,1.0
mall,3.0
mall.,1.0
"mall.banners,sign",1.0
mall.graffiti,1.0
mall.high,1.0
mallory,1.0
man,13.0
management,5.0
management),1.0
manager,1.0
mansfield,1.0
many,39.0
map,4.0
mapco,1.0
mapco)use,1.0
maplewood,3.0
marble,1.0
marbleopen,1.0
margaret,1.0
marie,1.0
marine,1.0
marked,2.0
market,6.0
market.,7.0
market.exterior,1.0
market.high,1.0
market.open,2.0
marketaccessory,1.0
marketdilapidated,1.0
marketelectronic,2.0
marketgraffiti,1.0
marketing,1.0
marketopen,2.0
marketprohibited,1.0
marketuse,1.0
marley's,1.0
maroon,22.0
"maroon,",1.0
maroon.,1.0
maroonvehicle,1.0
marqui,1.0
marquis,1.0
marsden,1.0
marshal,1.0
marshallfailure,1.0
mart,2.0
martinuse,1.0
marvel,1.0
masman,1.0
massage,3.0
master,1.0
masters),1.0
masters.,1.0
material,304.0
"material,",3.0
"material,gate",1.0
"material,high",3.0
"material,open",6.0
"material,parking",1.0
"material,sign",8.0
"material,signs",1.0
"material,suspension",1.0
"material,unlic",1.0
"material,use",3.0
material.,2.0
material;,1.0
materialbuilding,1.0
materials,57.0
materials),1.0
materials)exterior,1.0
"materials,",5.0
"materials,exterior",40.0
"materials,fence",3.0
"materials,litter",1.0
"materials,open",1.0
materials.,2.0
materials.exterior,1.0
materials.open,1.0
materials/grasshigh,1.0
materialsbuilding,1.0
materialsexterior,1.0
materialsfence,1.0
materialshigh,1.0
materialsopen,4.0
materialsunlic,1.0
matress,23.0
"matress,",2.0
matresses,36.0
"matresses,",5.0
matresses.exterior,1.0
matressesexterior,1.0
"matressesm,",1.0
matressesopen,3.0
matressopen,1.0
matrials,1.0
matrtess,1.0
matteress,1.0
"matters
hgw,",4.0
"matters
hgwhigh",4.0
"matters
imv,",1.0
"matters
imv,jtdexterior",1.0
"matters
imvexterior",1.0
"matters
jtdopen",1.0
"matters
pog,",2.0
"matters
pogparking",3.0
"matters
septic/sewer",1.0
mattress,150.0
"mattress,",7.0
mattress.open,1.0
mattress/boxsprings,1.0
mattress;,1.0
mattresses,76.0
"mattresses,",8.0
mattresses.open,2.0
mattressesexterior,1.0
mattressesopen,6.0
mattressexterior,2.0
mattressopen,5.0
maury,2.0
max,9.0
"max,",1.0
max.,3.0
maxexcess,1.0
maxexterior,1.0
maxima,1.0
maximavehicle,1.0
maximum,13.0
maxina.,1.0
maxsigns,1.0
maxuse,1.0
maxwell,1.0
may,87.0
maybe,7.0
mayo,1.0
mayopen,1.0
mazda,3.0
mazdavehicle,1.0
mazi,1.0
mccann.,1.0
mcchesneyparking,1.0
mcclendon,1.0
mcdade,1.0
mcdonaldsprohibited,3.0
mcdonaldssigns,2.0
mcgavock,1.0
me,4.0
mean,2.0
mechanic,4.0
mechanical,2.0
mechanics,4.0
mechanism,1.0
median,1.0
medianopen,1.0
medical,4.0
meet,1.0
meeting,2.0
mega,1.0
meineke,2.0
members,3.0
"members,exterior",17.0
"members,fire",1.0
"members,interior",4.0
"members,leaking",1.0
"members,mechanical",1.0
"members,open",1.0
"members,overhaul",1.0
"members,scope",1.0
memorial,1.0
men,9.0
mental,3.0
mention,1.0
mentioned,1.0
mercantile,1.0
mercedes,6.0
mercedes),1.0
"mercedes,",1.0
mercedes.,1.0
mercedesexterior,2.0
merchandise,1.0
"merchandise,",1.0
mercury,7.0
mercuryvehicle,1.0
meridian,1.0
merzunlic,1.0
mesh,1.0
mess,3.0
"mess,",1.0
mess.building,1.0
messlandlord,1.0
metal,28.0
"metal,",2.0
metal;,3.0
metalopen,3.0
meter,1.0
meter.,1.0
meterdog,1.0
meters,1.0
metersexterior,1.0
metro,53.0
mexican,3.0
mexicano,1.0
mexico),1.0
mgmt,1.0
miami,1.0
micheals,1.0
michigan,1.0
middle,8.0
might,9.0
mikes,1.0
mild,1.0
mildewexterior,1.0
military,1.0
milk,3.0
mill,1.0
millenium,1.0
millers,1.0
mills,1.0
mills.,1.0
min,1.0
mind,1.0
mini,11.0
minimum.use,1.0
minivan,4.0
minivan.parking,1.0
minivanvehicle,1.0
minza,1.0
mirage,1.0
misc,1.0
missing,139.0
"missing,",5.0
"missing,damaged",2.0
"missing,exterior",1.0
"missing,interior",1.0
missing.,1.0
missing.building,1.0
"missing.cornices,",1.0
missing.excess,1.0
missing.open,1.0
missing;,2.0
missingaddress,36.0
"missingcornices,",1.0
missingexcess,3.0
missingexterior,2.0
missingopen,2.0
missingstrp,2.0
missingunlic,1.0
missingvehicle,1.0
mississippi,1.0
mitchellexterior,1.0
mitchells,1.0
mits,1.0
mitsubishi,3.0
mitsubishi.parking,1.0
mitsubishihigh,1.0
mixer,1.0
mixers,3.0
mltiple,1.0
mnpd,1.0
mntsidewalk,2.0
mobil,1.0
mobile,21.0
mobileelectronic,1.0
mobileprohibited,1.0
mobilesigns,2.0
model,4.0
modern,1.0
mold,3.0
"mold,",3.0
molded,1.0
moms,1.0
monday,1.0
money,1.0
moneybanners,1.0
moneysign,1.0
monroe,2.0
montague,1.0
monte,6.0
monterovehicle,1.0
month,1.0
month.,1.0
monthexterior,2.0
monthhigh,1.0
monthopen,1.0
months,20.0
months)exterior,1.0
months.,3.0
months.exterior,2.0
months.open,7.0
months.unlic,1.0
months.vehicle,1.0
months;,2.0
monthsaccessory,1.0
monthsbb,1.0
monthscommercial,1.0
monthsexterior,5.0
monthshigh,2.0
monthson-premises,1.0
monthsopen,10.0
monthsparking,1.0
monthsunlic,4.0
monthsuse,3.0
monthsvehicle,11.0
monthvehicle,4.0
monticello,1.0
monticello.,1.0
monument,2.0
moore,1.0
mop,1.0
mops,1.0
moral,1.0
morales,1.0
"morals,high",1.0
more,60.0
more....landlord,1.0
more.open,1.0
moreopen,1.0
moreprohibited,1.0
morgan,1.0
morning,4.0
morning/,1.0
mornings,2.0
"mornings,",1.0
morningscommercial,1.0
morninguse,1.0
mortgage,1.0
morton,1.0
mosquito,1.0
"mosquitoes,",1.0
mosquitos,1.0
mosquitos.,1.0
mosquitosexterior,1.0
mosquitosopen,1.0
mosquitosrubbish,1.0
mosquitosswimming,1.0
moss,1.0
most,6.0
mostly,7.0
mother,1.0
motion,36.0
motion),1.0
"motion),",2.0
motion)address,1.0
motion)electronic,12.0
"motion,electronic",62.0
"motion,proper",1.0
"motion,sign",2.0
"motion,signs",2.0
motion.,1.0
motionelectronic,1.0
motoe,1.0
motor,347.0
"motor,",1.0
motorcycle,6.0
motorcycle.open,2.0
motorcycles,3.0
"motorcycles,",1.0
motorcycles.open,1.0
motorcyclesunlic,1.0
motorcyle,1.0
motorhome,6.0
"motorhome,",1.0
"motorhomes,",1.0
motors,3.0
motors-running,1.0
motorsbuilding,1.0
mound,1.0
mount,1.0
mountain,4.0
move,1.0
moved,28.0
moved.,1.0
movers,1.0
moves,1.0
movie,2.0
moving,15.0
moving.,1.0
movingelectronic,1.0
mow,1.0
mowed,8.0
mowed)exterior,1.0
mowed.,1.0
mowed.high,1.0
mowedhigh,1.0
mower,4.0
mower/small,1.0
mowers,2.0
mowing,3.0
mows,1.0
mpd,6.0
mpd.,1.0
mpdelectrical,1.0
mpdfailure,1.0
mpdvehicle,1.0
mr.,2.0
mrs.,1.0
ms.,2.0
msising,1.0
mt,1.0
mt.,1.0
mtaken,1.0
mths.exterior,1.0
mtr,4151.0
much,3.0
mud,4.0
muffler,2.0
mulch,5.0
"mulch,",1.0
mulitiple,1.0
mulitple,1.0
multi,12.0
multi-fam,1.0
"multi-fam,exterior",6.0
multilpe,1.0
multilple,1.0
multiple,99.0
multople,1.0
murfreesboro,4.0
"murfreesboro,",1.0
murfressboro,1.0
murphy,1.0
music,7.0
music),1.0
must,7.0
mustang,7.0
mustang),1.0
mustang)commercial,1.0
"mustang,",1.0
mustang.,1.0
my,1.0
n,7.0
n.,2.0
n66-76vvehicle,1.0
nabandoned,1.0
nail,2.0
nailed,2.0
nails,5.0
nailssigns,1.0
naked,1.0
name,8.0
name)home,1.0
"name,",1.0
named:,1.0
nan,16525.0
"napkins,",1.0
nash,1.0
nashboro,1.0
nashborohigh,1.0
nashvegas,1.0
nashville,11.0
"nashville,",1.0
nashvillesigns,1.0
navy,1.0
navy)signs,1.0
nawakwa,1.0
nd,6.0
ne,1.0
neals,1.0
near,56.0
near/on,1.0
nearby,1.0
nearest,2.0
necessarily,2.0
neck,1.0
need,67.0
needed,7.0
needed.,2.0
needed.interior,1.0
needed;,1.0
neededaccessory,3.0
neededbuilding,2.0
neededelectrical,2.0
neededext,4.0
neededexterior,14.0
neededhouse,1.0
neededlandlord,1.0
neededparking,1.0
neededsidewalk,1.0
needing,1.0
needs,373.0
neelys,2.0
nefairous,1.0
neibors,1.0
neighbor,14.0
neighbor's,21.0
neighbor.,1.0
neighbor.accessory,1.0
neighbor.exterior,1.0
neighborhood,11.0
neighborhood.,1.0
neighborhood.exterior,1.0
neighborhood.open,1.0
neighborhoodstrp,1.0
neighborhoodvehicle,1.0
neighboring,10.0
neighborlandlord,1.0
neighborly,1.0
neighbors,56.0
neighbors',1.0
neighbors.,1.0
neighbors.hours,1.0
neighbors.sanitary,1.0
neighbors.sewage,1.0
neighborsexterior,1.0
neighborslighting,1.0
neighnbors,1.0
neill,3.0
neill)use,1.0
neitghbor,1.0
nenovating,1.0
neon,1.0
neon.vehicle,1.0
neonvehicle,1.0
nes,1.0
nest,1.0
netherlands,1.0
netting,1.0
never,33.0
new,38.0
news,1.0
next,85.0
nfv,1.0
nfv.,1.0
nhc,2.0
nhigh,2.0
niagaraparking,1.0
nicks,1.0
night,41.0
night)open,1.0
night)prohibited,1.0
"night,",2.0
night.,7.0
night.building,1.0
night.hours,1.0
night.open,1.0
night;,5.0
nightcommercial,2.0
nightelectrical,1.0
nightexterior,2.0
nightopen,3.0
nightovercrowding,1.0
"nightovercrowding,parking",2.0
nightparking,5.0
nights,3.0
"nights,",1.0
nights.parking,1.0
nights/weekends.,1.0
nile,1.0
nissan,35.0
nissan.unlic,1.0
nissanaddress,1.0
nissanexterior,1.0
nissanunlic,2.0
nissanvehicle,1.0
nitro.,1.0
no,541.0
no.,9.0
noise,24.0
"noise,",1.0
noise.,2.0
noise.open,1.0
noise.use,1.0
noiseexcessive,3.0
nolensville,9.0
nolensville.,1.0
nolenville,1.0
non,12.0
non-,1.0
non-compliant,1.0
non-owner,6.0
non-related,1.0
non-running,1.0
noncomforming,1.0
none,2.0
nonres,1.0
"nonres,exterior",5.0
"nonres,prohibited",1.0
"nonres,use",1.0
nopen,3.0
normal,1.0
north,2.0
northstar,1.0
northstar)high,1.0
northwest,1.0
not,2515.0
not.address,1.0
notation,1.0
note:,1.0
notes,1.0
notes)open,1.0
nothing,1.0
notice,11.0
notice).high,1.0
notice.commercial,1.0
notice.exterior,1.0
notice.parking,1.0
noticed,1.0
noticesign,1.0
"notification
jtdopen",1.0
"notification
junk,",2.0
"notification
no",1.0
"notification
parking",1.0
"notification
use",1.0
notificationexcess,1.0
notifications,1.0
"notified,accessory",1.0
notify,2.0
notopen,1.0
notunlic,1.0
nova.,1.0
noved,1.0
november,1.0
now,21.0
"now,",1.0
now.garage,1.0
now.unlic,1.0
nowopen,2.0
nplumbing,1.0
num,2.0
number,31.0
number.excess,1.0
numberaddress,1.0
numbering,1.0
numberous,1.0
numbers,23.0
numbers.accessory,1.0
numbers.strp,1.0
numbersaddress,2.0
numerous,31.0
nurse,1.0
nursing,2.0
nvf.,2.0
nylon,1.0
o,3.0
o'reilly's,1.0
o'reillys,1.0
o/,1.0
oak,2.0
oakexterior,1.0
oaks,2.0
oakwood.,1.0
obscene,1.0
obstructing,5.0
obstruction,1.0
obstructs,1.0
obtain,148.0
obtain/display,1.0
obtained,1.0
obtained.,1.0
obtainedbuilding,2.0
obtaining,4.0
obuilding,1.0
ocala,4.0
ocalaparking,1.0
occ,3.0
"occ,",5.0
occcertificate,1.0
occupancies,5.0
"occupancies,hvac",1.0
"occupancies,interior",6.0
"occupancies,landlord",2.0
"occupancies,plumbing",1.0
"occupancies,sanitary",1.0
"occupancies,water",1.0
occupancy,201.0
occupancy).,1.0
"occupancy,",23.0
"occupancy,bedroomsexcess",1.0
"occupancy,excessive",4.0
"occupancy,extermination",4.0
"occupancy,fire",3.0
"occupancy,food",2.0
"occupancy,heating",1.0
"occupancy,interior",2.0
"occupancy,owner",7.0
"occupancy,rv",1.0
"occupancy,stop",2.0
"occupancy,strp",76.0
"occupancy,use",2.0
occupancy-permits,1.0
occupancy.,3.0
occupancy.excess,4.0
occupancycommercial,1.0
occupancyexcess,38.0
occupancyfailure,2.0
occupancyoccupancy,1.0
occupancystrp,2.0
occupancyuse,8.0
occupant(s),1.0
"occupant,water",1.0
occupants,14.0
"occupants,",2.0
occupants.exterior,1.0
occupants.use,2.0
occupantsopen,1.0
occupany,2.0
occupation,37.0
occupiable,1.0
occupied,75.0
"occupied,",1.0
occupied.,5.0
occupied.owner,1.0
occupiedowner,5.0
occupy.,1.0
occupying,2.0
occurring.,1.0
occurs,1.0
oceola,1.0
ocertificate,1.0
october,1.0
od,1.0
odor,6.0
odor.,1.0
odorexterior,1.0
odorhigh,1.0
odoropen,1.0
odorsewage,1.0
oem.,1.0
oemexterior,1.0
of,5530.0
ofa,1.0
ofailure,1.0
ofbuilding,1.0
off,138.0
off's,1.0
off)open,1.0
"off,",9.0
off.,3.0
off.exterior,6.0
off;,3.0
offbroken,1.0
offender,31.0
offender!,5.0
offender!high,1.0
offender-,1.0
offender-exterior,1.0
offender.,2.0
offender.commercial,1.0
offender.excess,1.0
offender.high,1.0
offender.hours,1.0
offender.open,2.0
offenderboat,1.0
offendercommercial,1.0
offenderexterior,4.0
offenderhigh,19.0
offenderoccupancy,1.0
offenderopen,22.0
offenderparking,11.0
offendershigh,1.0
offendersigns,1.0
offenderunlic,2.0
offenderuse,2.0
offexterior,12.0
office,9.0
office.,1.0
officecommercial,1.0
officeopen,1.0
officer,3.0
"offices)banners,prohibited",1.0
offopen,1.0
offs,2.0
offuse,1.0
ofoccupants,1.0
oftotal,1.0
ohb,3.0
ohbsigns,1.0
ohio,1.0
oil,14.0
oil.,1.0
oil.parking,1.0
oin,1.0
old,164.0
older,3.0
olds,1.0
oldsmobile,1.0
oldsmobile.,1.0
oldsmobilevehicle,1.0
omohundro,1.0
on,12857.0
on),2.0
on.,2.0
on.exterior,1.0
on.open,1.0
on/dilapidated,1.0
once,2.0
oncoming,1.0
one,60.0
one)strp,1.0
one.use,1.0
one.vehicle,1.0
one/twice,1.0
ones,3.0
onevehicle,1.0
ongoing,6.0
online,77.0
"online
abandoned",9.0
"online
advertising",1.0
"online
graffiti",1.0
"online
graffitigraffiti",1.0
"online
hgwhigh",1.0
"online
high",3.0
"online
inoperable",2.0
"online
jtd,",1.0
"online
jtdopen",6.0
"online
junk",1.0
"online
operating",6.0
"online
overcrowding;",1.0
"online
paring",1.0
"online
parking",8.0
"online
target",1.0
online).,1.0
onlineopen,1.0
only,23.0
only)high,1.0
only)open,1.0
only)trash,2.0
"only,",1.0
onopen,1.0
ons,1.0
onthe,1.0
onto,40.0
ooperation,1.0
open,5505.0
open),1.0
open.,5.0
open/exposed,1.0
openable,59.0
openaccessory,2.0
openboarding,5.0
opended.,1.0
opened,4.0
opened;,1.0
opening,3.0
"openings,",1.0
openly,4.0
openregulation,1.0
opens,1.0
openstorageof,1.0
operable,4.0
operarting,2.0
operate,2.0
operated,7.0
operatedexterior,1.0
operates,1.0
operating,318.0
operating/fixing,1.0
operation,20.0
operations,1.0
operationsuse,1.0
operatng,1.0
opn,3.0
opnexterior,1.0
opopen,1.0
opposing,1.0
opposite,1.0
oppupants,1.0
option,1.0
or,178.0
orange,5.0
"orange
tent",1.0
order,92.0
order.,1.0
order.building,1.0
orderbuilding,3.0
ordered,2.0
orderstop,1.0
ordinance,7.0
ordinanceuse,1.0
ordway,2.0
"organ,",1.0
original,14.0
originally,2.0
origional,5.0
origionally,3.0
orleans.,1.0
os,23.0
os)open,1.0
"os,",8.0
oscommercial,1.0
oshigh,5.0
osopen,4.0
ot,1.0
other,121.0
others,1.0
our,1.0
out,248.0
"out,",12.0
"out,broken",1.0
out.,17.0
out.accessory,2.0
out.boarding,6.0
out.broken,1.0
out.building,3.0
out.exterior,1.0
out.failure,1.0
out;,6.0
outabandoned,1.0
outaccessory,2.0
outboarding,8.0
